State,undecideds,Biden_probability,Biden_avg,Trump_probability,Trump_avg,ec,cook,spread,within_moe,within_spread,polls,consensus,Hidden_trump,Hidden_win,average_trump_win,average_biden_win,cook_n,polls_n,gap,score
alabama,4.0,0.0,38.0,1.0,58.0,9,Solid Rep,20.0,0,0,Solid Rep,1,62.0,1,1,0,7,7,0,14
alaska,7.0,0.00035,45.0,0.0904,48.0,3,Likely Rep,3.0,1,1,Lean Rep,0,55.0,1,1,0,6,5,0,11
arizona,5.7,0.3133,49.3,0.0004,45.0,11,Toss Up,4.299999999999997,0,1,Lean Dem,0,50.7,1,0,1,4,3,0,7
arkansas,8.0,0.0003,45.0,0.01925,47.0,6,Solid Rep,2.0,1,1,Lean Rep,0,55.0,1,1,0,7,5,1,12
california,8.0,1.0,62.4,0.0,29.6,55,Solid Dem,32.8,0,0,Solid Dem,1,37.6,0,0,1,1,1,0,2
colorado,-0.0,0.99955,55.0,0.0003,45.0,9,Likely Dem,10.0,0,0,Solid Dem,0,45.0,0,0,1,2,1,0,3
connecticut,15.2,0.71705,50.9,0.0,33.9,7,Solid Dem,17.0,0,0,Likely Dem,0,49.099999999999994,0,0,1,1,2,0,3
delaware,4.0,0.99995,56.0,0.0,40.0,3,Solid Dem,16.0,0,0,Solid Dem,1,44.0,0,0,1,1,1,0,2
florida,3.3,0.6577,50.7,0.0036,46.0,29,Toss Up,4.700000000000003,0,0,Likely Dem,0,49.3,0,0,1,4,2,1,6
georgia,6.9,0.0001,44.6,0.1595,48.6,16,Toss Up,4.0,0,1,Lean Rep,0,55.5,1,1,0,4,5,0,9
indiana,9.0,0.0,39.0,0.90065,52.0,11,Solid Rep,13.0,0,0,Likely Rep,0,61.0,1,1,0,7,6,0,13
iowa,9.5,0.0002,44.5,0.00405,46.0,6,Lean Rep,1.5,1,1,Toss Up,0,55.5,1,1,0,5,4,0,9
kansas,8.0,0.0,40.0,0.90095,52.0,6,Solid Rep,12.0,0,0,Likely Rep,0,60.0,1,1,0,7,6,0,13
kentucky,7.0,0.0,39.7,0.9846,53.3,8,Solid Rep,13.599999999999994,0,0,Solid Rep,1,60.3,1,1,0,7,7,0,14
maine,9.1,0.85025,51.6,0.0,39.3,4,Likely Dem,12.300000000000004,0,0,Likely Dem,1,48.4,0,0,1,2,2,0,4
massachusetts,4.0,1.0,64.0,0.0,32.0,11,Solid Dem,32.0,0,0,Solid Dem,1,36.0,0,0,1,1,1,0,2
michigan,9.4,0.25495,49.1,0.0,41.6,16,Lean Dem,7.5,0,1,Lean Dem,1,51.0,1,0,1,3,3,0,6
minnesota,7.6,0.30285,49.3,0.0,43.1,10,Lean Dem,6.199999999999996,0,1,Lean Dem,1,50.7,1,0,1,3,3,0,6
mississippi,3.0,0.0,41.0,0.99995,56.0,6,Solid Rep,15.0,0,0,Solid Rep,1,59.0,1,1,0,7,7,0,14
missouri,6.7,0.0,43.2,0.5313,50.2,10,Solid Rep,7.0,0,0,Likely Rep,0,56.900000000000006,1,1,0,7,6,0,13
montana,5.8,0.0,42.0,0.9218,52.2,3,Likely Rep,10.200000000000003,0,0,Likely Rep,1,58.0,1,1,0,6,6,0,12
nevada,8.3,0.0851,48.0,0.0,43.7,6,Likely Dem,4.299999999999997,0,1,Lean Dem,0,52.0,1,0,1,2,3,0,5
new hampshire,7.0,0.57165,50.3,0.0,42.7,4,Lean Dem,7.599999999999994,0,0,Likely Dem,0,49.7,0,0,1,3,2,0,5
new jersey,10.5,0.9994,55.0,0.0,34.5,14,Solid Dem,20.5,0,0,Solid Dem,1,45.0,0,0,1,1,1,0,2
new mexico,2.6,0.99115,53.7,0.0,43.7,5,Solid Dem,10.0,0,0,Solid Dem,1,46.300000000000004,0,0,1,1,1,0,2
new york,12.3,0.9998,55.7,0.0,32.0,29,Solid Dem,23.700000000000003,0,0,Solid Dem,1,44.3,0,0,1,1,1,0,2
north carolina,5.0,0.73685,51.0,5e-05,44.0,15,Toss Up,7.0,0,0,Likely Dem,0,49.0,0,0,1,4,2,1,6
ohio,7.2,0.131,48.4,0.0,44.4,18,Lean Rep,4.0,0,1,Lean Dem,0,51.6,1,0,1,5,3,1,8
pennsylvania,7.3,0.11625,48.3,0.0,44.4,20,Lean Dem,3.8999999999999986,0,1,Lean Dem,1,51.699999999999996,1,0,1,3,3,0,6
south carolina,6.4,0.0,43.3,0.5544,50.3,9,Likely Rep,7.0,0,0,Likely Rep,1,56.699999999999996,1,1,0,6,6,0,12
tennessee,8.3,0.0,39.0,0.96465,52.7,11,Solid Rep,13.700000000000003,0,0,Likely Rep,0,61.0,1,1,0,7,6,0,13
texas,8.8,0.0,43.7,0.04725,47.6,38,Lean Rep,3.8999999999999986,0,1,Lean Rep,1,56.400000000000006,1,1,0,5,5,0,10
utah,14.6,0.0,38.5,0.01805,46.9,6,Likely Rep,8.399999999999999,0,1,Toss Up,0,61.5,1,1,0,6,4,1,10
virginia,10.3,0.65955,50.7,0.0,39.0,13,Likely Dem,11.700000000000003,0,0,Likely Dem,1,49.3,0,0,1,2,2,0,4
washington,10.3,1.0,59.5,0.0,30.2,12,Solid Dem,29.3,0,0,Solid Dem,1,40.5,0,0,1,1,1,0,2
wisconsin,8.9,0.0051,46.2,0.00025,44.9,10,Lean Dem,1.3000000000000043,1,1,Toss Up,0,53.8,1,0,1,3,4,0,7
