Biden_avg,Biden_probability,Hidden_trump,Hidden_win,State,Trump_avg,Trump_probability,average_biden_win,average_trump_win,biden_alt_avg,biden_alt_prob,code,consensus,cook,ec,polls,spread,trump_alt_avg,trump_alt_prob,undecideds,within_moe,within_spread,cook_n,polls_n,gap,score
38.0,0.0,62.0,1.0,alabama,58.0,1.0,0.0,1.0,38.0,0.0,AL,1.0,Solid Rep,9,Solid Rep,20.0,62.8,1.0,4.0,0.0,0.0,7,7,0,14
45.0,0.00025,55.0,1.0,alaska,48.0,0.08965,0.0,1.0,45.0,0.0,AK,0.0,Likely Rep,3,Lean Rep,3.0,55.8,1.0,7.0,1.0,1.0,6,5,0,11
46.2,0.0052,53.8,1.0,arizona,44.9,0.0004,1.0,0.0,46.2,5e-05,AZ,1.0,Toss Up,11,Toss Up,1.3000000000000043,54.6,0.99995,8.9,1.0,1.0,4,4,0,8
45.0,0.0003,55.0,1.0,arkansas,47.0,0.02245,0.0,1.0,45.0,0.0,AR,0.0,Solid Rep,6,Lean Rep,2.0,55.8,1.0,8.0,1.0,1.0,7,5,1,12
62.4,1.0,37.6,0.0,california,29.6,0.0,1.0,0.0,62.4,1.0,CA,1.0,Solid Dem,55,Solid Dem,32.8,38.5,0.0,8.0,0.0,0.0,1,1,0,2
55.0,0.99955,45.0,0.0,colorado,45.0,0.0002,1.0,0.0,55.0,0.99945,CO,0.0,Likely Dem,9,Solid Dem,10.0,45.9,0.00055,-0.0,0.0,0.0,2,1,0,3
50.9,0.71605,49.099999999999994,0.0,connecticut,33.9,0.0,1.0,0.0,50.9,0.64925,CT,0.0,Solid Dem,7,Likely Dem,17.0,50.0,0.35075,15.2,0.0,0.0,1,2,0,3
56.0,1.0,44.0,0.0,delaware,40.0,0.0,1.0,0.0,56.0,1.0,DE,1.0,Solid Dem,3,Solid Dem,16.0,44.8,0.0,4.0,0.0,0.0,1,1,0,2
50.2,0.5246,49.9,0.0,florida,44.5,0.0002,1.0,0.0,50.2,0.42385,FL,0.0,Toss Up,29,Likely Dem,5.700000000000003,50.7,0.57615,5.4,0.0,0.0,4,2,1,6
45.1,0.0004,55.0,1.0,georgia,47.3,0.03055,0.0,1.0,45.1,0.0,GA,0.0,Toss Up,16,Lean Rep,2.1999999999999957,55.8,1.0,7.7,1.0,1.0,4,5,0,9
39.0,0.0,61.0,1.0,indiana,52.0,0.90325,0.0,1.0,39.0,0.0,IN,0.0,Solid Rep,11,Likely Rep,13.0,61.8,1.0,9.0,0.0,0.0,7,6,0,13
44.5,5e-05,55.5,1.0,iowa,46.0,0.00275,0.0,1.0,44.5,0.0,IA,0.0,Lean Rep,6,Toss Up,1.5,56.4,1.0,9.5,1.0,1.0,5,4,0,9
40.6,0.0,59.400000000000006,1.0,kansas,49.6,0.37865,0.0,1.0,40.6,0.0,KS,0.0,Solid Rep,6,Lean Rep,9.0,60.2,1.0,9.8,0.0,1.0,7,5,1,12
39.7,0.0,60.3,1.0,kentucky,53.3,0.9852,0.0,1.0,39.7,0.0,KY,1.0,Solid Rep,8,Solid Rep,13.599999999999994,61.1,1.0,7.0,0.0,0.0,7,7,0,14
51.6,0.851,48.4,0.0,maine,39.3,0.0,1.0,0.0,51.6,0.8252,ME,1.0,Likely Dem,4,Likely Dem,12.300000000000004,49.3,0.1748,9.1,0.0,0.0,2,2,0,4
62.9,1.0,37.1,0.0,massachusetts,29.4,0.0,1.0,0.0,62.9,1.0,MA,1.0,Solid Dem,11,Solid Dem,33.5,38.0,0.0,7.7,0.0,0.0,1,1,0,2
